sku,country,unit,seller,min_price,min_price_date,max_price,max_price_date,current_price,current_price_date,average_price
B000CRBEJ2,Germany,€,amazon,23.27,2013-03-13 00:00:00,55.0,2023-09-29 00:00:00,43.28,2024-01-18 00:00:00,45.09
B000CRBEJ2,Germany,€,new,10.0,2017-05-01 00:00:00,65.0,2023-09-08 00:00:00,,,43.39
B000CRBEJ2,Germany,€,used,9.99,2011-05-22 00:00:00,120.99,2014-09-14 00:00:00,36.76,2024-01-18 00:00:00,38.34
B000EEL6J6,Germany,€,amazon,6.4,2014-11-26 00:00:00,15.2,2022-05-25 00:00:00,12.9,2023-09-01 00:00:00,12.03
B000EEL6J6,Germany,€,new,3.8,2018-07-30 00:00:00,23.61,2022-05-06 00:00:00,,,14.47
B000EEL6J6,Germany,€,used,2.99,2016-08-04 00:00:00,15.05,2023-10-15 00:00:00,12.59,2024-01-14 00:00:00,12.49
B000P4IQN4,Germany,€,amazon,15.99,2023-11-23 00:00:00,44.55,2014-06-24 00:00:00,,,24.08
B000P4IQN4,Germany,€,new,16.54,2013-03-17 00:00:00,43.36,2014-06-24 00:00:00,,,27.89
B000P4IQN4,Germany,€,used,15.51,2023-11-23 00:00:00,40.0,2020-02-17 00:00:00,20.78,2024-01-17 00:00:00,20.43
B0014BYHGC,Germany,€,amazon,11.99,2021-12-05 00:00:00,35.99,2022-02-27 00:00:00,29.75,2023-12-22 00:00:00,31.58
B0014BYHGC,Germany,€,new,4.88,2016-10-17 00:00:00,39.9,2023-09-27 00:00:00,,,30.06
B0014BYHGC,Germany,€,used,12.29,2015-08-04 00:00:00,30.69,2022-07-25 00:00:00,,,25.06
B0016MNAAI,Germany,€,amazon,102.0,2015-10-24 00:00:00,159.0,2016-05-06 00:00:00,,,114.7
B0016MNAAI,Germany,€,new,101.02,2018-10-03 00:00:00,229.87,2021-04-11 00:00:00,139.0,2024-01-03 00:00:00,160.21
B0016MNAAI,Germany,€,used,49.95,2015-05-09 00:00:00,283.65,2023-03-16 00:00:00,111.2,2024-01-18 00:00:00,135.24
B001BEAWXY,Germany,€,amazon,16.45,2021-12-12 00:00:00,42.9,2022-10-18 00:00:00,27.95,2024-01-19 00:00:00,31.31
B001BEAWXY,Germany,€,new,12.48,2016-04-28 00:00:00,45.6,2016-12-12 00:00:00,,,29.79
B001BEAWXY,Germany,€,used,,,,,,,
B002DYIZH6,Germany,€,amazon,18.19,2016-09-16 00:00:00,39.9,2015-06-13 00:00:00,35.79,2022-12-30 00:00:00,27.93
B002DYIZH6,Germany,€,new,14.0,2016-11-28 00:00:00,46.9,2023-07-19 00:00:00,34.99,2024-01-13 00:00:00,41.43
B002DYIZH6,Germany,€,used,,,,,,,
B002OHKHOQ,Germany,€,amazon,1.69,2019-03-05 00:00:00,3.21,2022-08-24 00:00:00,2.99,2022-09-21 00:00:00,2.78
B002OHKHOQ,Germany,€,new,1.6,2018-01-30 00:00:00,6.97,2023-02-28 00:00:00,,,6.33
B002OHKHOQ,Germany,€,used,1.57,2019-03-05 00:00:00,2.64,2019-02-21 00:00:00,,,1.9
B002ZRQ4BA,Germany,€,amazon,4.0,2017-12-12 00:00:00,10.04,2013-07-01 00:00:00,8.09,2024-01-18 00:00:00,8.08
B002ZRQ4BA,Germany,€,new,1.99,2015-09-09 00:00:00,9.69,2021-12-19 00:00:00,,,6.4
B002ZRQ4BA,Germany,€,used,1.19,2017-09-11 00:00:00,13.26,2015-05-23 00:00:00,7.69,2024-01-18 00:00:00,6.81
B003UOWDCG,Germany,€,amazon,1.29,2019-10-06 00:00:00,6.99,2021-01-10 00:00:00,3.79,2024-01-18 00:00:00,3.83
B003UOWDCG,Germany,€,new,0.01,2014-07-15 00:00:00,4.28,2023-04-20 00:00:00,,,3.96
B003UOWDCG,Germany,€,used,0.66,2019-05-11 00:00:00,25.47,2015-10-22 00:00:00,,,1.86
