sku,country,seller,collection_date,first_date_x_axis,last_date_x_axis,nb_x_axis_coords,hour_increment
B01N1UX8RW,Germany,amazon,2024-01-24,2020-12-01 00:00:00,2023-06-01 00:00:00,2090,7.207112281857095
B01N1UX8RW,Germany,new,2024-01-24,2017-09-01 00:00:00,2024-01-01 00:00:00,2928,18.27856437273625
B071CP6X88,Germany,amazon,2024-01-24,2017-11-01 00:00:00,2024-01-01 00:00:00,1760,17.81998021760633
B071CP6X88,Germany,new,2024-01-24,2017-11-01 00:00:00,2024-01-01 00:00:00,2950,17.93826750746764
B073PD6YRQ,Germany,amazon,2024-01-24,2019-01-01 00:00:00,2024-01-01 00:00:00,2756,14.430029634507738
B073PD6YRQ,Germany,new,2024-01-24,2018-08-01 00:00:00,2024-01-01 00:00:00,2152,15.711544823023486
B073YQ5KSX,Germany,amazon,2024-01-24,2018-07-01 00:00:00,2024-01-01 00:00:00,1524,16.042567342866644
B073YQ5KSX,Germany,new,2024-01-24,2017-11-01 00:00:00,2018-01-01 00:00:00,2960,18.14166943797805
B073ZG6J9N,Germany,amazon,2024-01-24,2017-11-01 00:00:00,2024-01-01 00:00:00,3026,17.79650971353309
B073ZG6J9N,Germany,new,2024-01-24,2017-11-01 00:00:00,2024-01-01 00:00:00,2190,17.81998021760633
B075FC8ZJ3,Germany,amazon,2024-01-24,2017-11-01 00:00:00,2024-01-01 00:00:00,3018,17.79650971353309
B075FC8ZJ3,Germany,new,2024-01-24,2017-11-01 00:00:00,2024-01-01 00:00:00,2144,17.79650971353309
B079RRVLGQ,Germany,amazon,2024-01-24,2018-07-01 00:00:00,2024-01-01 00:00:00,2980,15.884096147513992
B079RRVLGQ,Germany,new,2024-01-24,2018-07-01 00:00:00,2023-03-01 00:00:00,2822,13.47479406919275
B07DGMWKK9,Germany,amazon,2024-01-24,2018-08-01 00:00:00,2024-01-01 00:00:00,2584,15.639117550214028
B07DGMWKK9,Germany,new,2024-01-24,2018-09-01 00:00:00,2024-01-01 00:00:00,2486,15.39413895291406
B07GS6ZS8J,Germany,amazon,2024-01-24,2018-11-01 00:00:00,2024-01-01 00:00:00,2932,14.971239669421488
B07GS6ZS8J,Germany,new,2024-01-24,2018-11-01 00:00:00,2024-01-01 00:00:00,1970,14.971239669421488
B07GTWD7Z7,Germany,amazon,2024-01-24,2018-12-01 00:00:00,2024-01-01 00:00:00,2970,14.675008231807706
B07GTWD7Z7,Germany,new,2024-01-24,2071-01-01 00:00:00,2024-01-01 00:00:00,2152,-135.66282515640435
B07L9WLKZQ,Germany,amazon,2024-01-24,2020-09-01 00:00:00,2024-01-01 00:00:00,1572,9.630069238377844
B07L9WLKZQ,Germany,new,2024-01-24,2047-01-01 00:00:00,2024-01-01 00:00:00,3020,-66.38919986829107
B07MVPRSHZ,Germany,amazon,2024-01-24,2017-01-01 00:00:00,2024-01-01 00:00:00,2810,20.34626865671642
B07MVPRSHZ,Germany,new,2024-01-24,2019-07-01 00:00:00,2024-01-01 00:00:00,2442,13.111922949186317
